Rank,Team,#,+,ROUGE1,ROUGE2,ROUGEL,BERTScore,FKGL,DCRS,CLI,LENS,AlignS,SummaC
1,UIUC_BioNLP,2,×,48.55,15.69,45.5,86.77,11.75,9.34,13.36,52.85,80.04,73.38
2,Ctyun AI,2,×,47.96,15.46,44.94,86.66,12.44,9.67,14.15,51.09,82.72,74.8
3,Saama Technologies,2,×,47.85,15.45,44.97,86.7,11.36,9.1,13.15,51.9,77.83,72.68
4,WisPerMed,2,×,47.12,15.18,44.28,86.53,11.07,8.86,12.87,51.03,78.18,72.16
5,cylaun,1,×,47.39,14.55,44.45,85.61,10.46,9.33,12.64,41.69,75.26,78.44
6,BART Baseline,2,×,46.96,13.95,43.58,86.23,12.04,10.15,13.49,48.1,77.88,70.26
7,AUTH,1,✓,48.23,14.57,44.77,85.76,12.44,10.04,13.5,66.11,74.18,66.4
8,maverick,1,×,42.77,12.97,39.42,85.01,15.04,10.65,16.61,52.3,91.22,83.85
9,Empress,1,×,43.96,12.29,41.36,84.89,10.66,9.06,12.89,59.73,73.47,68.02
10,eulerian,1,×,40.35,11.66,37.1,84.51,14.8,10.76,16.53,48.46,91.73,85.38
11,BioLay_AK_SS,2,×,43.98,12.15,40.39,84.71,14.2,11.12,15.12,49.57,85.03,78.6
12,HULAT-UC3M,2,×,48.72,14.65,45.2,86.22,12.71,10.43,14.08,49.34,66.69,67.03
13,Atif_Tanish,1,×,43.82,11.96,41.01,84.84,10.61,9.12,12.86,60.14,72.92,67.12
14,qwerty,1,×,37.26,10.45,34.48,83.54,13.36,9.18,14.6,42.16,89.89,83.23
15,Deakin,2,×,48.22,14.2,44.41,85.83,14.46,10.76,15.48,63.91,74.57,61.8
16,MDSCL,2,×,42.56,13.01,39.35,85.2,14.01,10.78,15.92,63.05,81.5,71.54
17,MDS-CL,2,×,42.13,12.9,38.93,85.14,14.13,10.82,15.96,61.71,81.98,73.14
18,elirf,2,✓,48.15,13.66,43.09,85.95,13.61,10.86,14.66,48.02,78.21,60.66
19,RAG-RLRC-LaySum,2,×,46.24,13.04,42.37,85.29,12.68,10.43,14.41,59.26,71.28,66.29
20,naive_bhais,2,×,43.42,12.6,39.91,85.72,12.89,10.94,14.32,37.86,81.34,67.81
21,MDS-CL,1,×,42.31,11.05,39.22,85.62,11.93,9.23,13.25,74.67,71.52,56.55
22,MDS-CL,1,×,43.43,11.98,40.13,85.55,12.39,9.76,14.28,76.8,72.18,54.41
23,DhruvShlo,1,×,42.15,11.05,39.4,84.42,11.76,9.08,13.02,49.17,71.25,63.98
24,naman_tejas,1,×,39.54,11.06,36.73,84.25,12.29,9.2,13.58,50.44,75.68,68.1
25,SINAI,2,×,42.05,12.49,38.53,85.83,12.23,9.86,13.81,76.95,71.17,53.98
26,XYZ,2,×,41.04,9.93,38.01,85.5,11.02,9.37,13.0,81.21,70.18,54.63
27,gpsigh,2,×,33.6,9.18,30.97,82.97,15.69,9.3,15.17,42.06,91.28,82.11
28,YXZ,2,×,42.25,10.91,39.2,84.99,11.18,8.57,12.44,71.57,64.89,53.49
29,sanika,2,×,42.9,11.16,38.06,83.33,17.93,12.4,17.37,11.37,85.16,90.28
30,Bossy Beaver,1,×,41.32,11.45,37.98,84.73,13.99,10.41,15.74,65.49,78.08,60.65
31,Dayal K-Laksh G,1,×,33.93,9.49,30.55,84.98,14.39,12.15,16.24,32.33,93.07,80.71
32,MKGS,1,×,37.75,9.72,34.67,83.33,15.79,11.92,17.5,22.07,93.08,83.52
33,Shallow-Learning,1,×,42.22,11.33,39.54,83.89,10.56,9.04,12.42,53.68,57.28,61.17
34,NLPSucks,2,×,34.91,8.32,33.32,82.62,10.68,6.76,12.08,37.86,74.36,64.22
35,CookieMonster,2,×,43.06,10.33,39.83,84.57,12.04,9.37,13.18,49.53,63.63,59.19
