reference,prediction
"Imagine a gymnastics competition in which participants take turns to cartwheel and somersault across the floor . The routines on display comprise sequences of precisely timed movements learned through practice . This is also true for many of the actions we perform every day , such as reaching for a cup of coffee . A region of the brain called the cerebellum helps us learn sequences of movements . But how does it do this ? To find out , Khilkevich et al . came up with a new version of an old experiment . Rabbits were first trained to blink their eye in response to a specific external cue . This type of learning , called associative learning , has been shown before in the cerebellum . But Khilkevich et al . wondered whether the cerebellum could also use internal feedback signals from the eyeblink as a cue to learn the next movement ? If so , this might explain how the cerebellum can chain movements together in a sequence . As predicted , Khilkevich et al . found that rabbits could learn to blink their eye in response to an initial signal , and then blink again in response to the first blink . Control experiments confirmed that the second eyeblink was coupled to the first , and not to the original cue . Moreover , on many trials the rabbits showed a third and even fourth eyeblink . This is because feedback signals from the first , second or third blink were the same . Thus , the feedback signals from the first blink triggered the second blink , feedback from the second triggered the third , and so forth . Rabbits could also learn to use a blink of the left eye as a cue for a blink of the right eye . Similar patterns of neuronal activity accompanied each blink , suggesting that the same mechanism generated them all . The cerebellum can thus use feedback from one movement as a cue to learn the proper timing of the next movement in a sequence . A key question is whether this mechanism of sequence learning extends beyond movement . The cerebellum has extensive connections to the brain’s outer layer , the cortex , including many areas involved in cognition . Future experiments should test whether the cerebellum might help guide sequences of cortical activity during cognitive tasks ."," This study looked at how the brain controls complex actions made up of multiple parts or steps. It used an animal model called eyelid reflex conditioning, which allows researchers to train animals to respond to specific events. For example, they could be trained to close their eyes when they hear a sound. Researchers found that the part of the brain responsible for coordinating these types of activities, called the cerebral bell, uses similar methods to coordinate different parts of the action. They also showed that it does not matter what order the parts happen in because the cerebella will still know what to do. Overall, this shows us that the cerebra bell coordinates complex actions using very basic building blocks. This helps scientists understand more about how we move our bodies and why some people have trouble moving due to problems with their cerebela. It may even help doctors find new ways to treat people who have issues like this. However, it should be noted that while this study was done carefully, there might be other factors involved that were not considered here. Therefore, further studies are needed before drawing any conclusions. Further research on this topic would help us better understand how our brains work and potentially lead to new treatments for neurological disorders. Additionally, it highlights the importance of studying individual components of complex behaviors and how they interact with each other."
"To grow and multiply , a living cell must take a variety of factors into account , such as its own energy levels and the availability of nutrients . A protein called mTOR sits at the core of a signaling pathway that integrates these and other sources information . Problems with the mTOR pathway contribute to several diseases including diabetes and cancer . The mTOR protein occurs in two distinct protein complexes , called mTORC1 and mTORC2 . These complexes contain a mix of other proteins – known as accessory proteins . They also sense different cues and act upon distinct targets in the cell . Recent research reported the structure of mTORC1 , which provided clues about how this complex works . Yet , much less was known about the mTORC2 complex . Stuttfeld , Aylett et al . have now used a technique called cryo-electron microscopy to reveal the three-dimensional architecture of the human version of mTORC2 . Comparing the new mTORC2 structure to the existing one for mTORC1 showed that they have many features in common but important differences too . The overall shape of both complexes is similar and each complex contains two copies of mTOR arranged in a similar way . Also , the main accessory proteins in each complex interact with almost the exact same parts of mTOR , but the accessory proteins in mTORC2 are organized differently from those of mTORC1 . The different accessory proteins also have distinct shapes . These differences could help to explain why the complexes respond to different cues and recognize different targets . These new findings provide an entry point for further studies on how mTORC2 works in cells . The next step is to get a higher resolution image of the structure of this complex to see the finer details of all the components . This may in the future help scientists to develop drugs that inhibit mTORC2 to treat cancer and other diseases ."," Scientists have discovered that there are two different groups of molecules called mTORS1 and 2. These molecules work together to control how our bodies use energy from food to grow and survive. When these molecules don't work properly, it can lead to problems like diabetes or cancer. Some medicines can stop one group of these molecule from working, but they don' t always work well. In this study, scientists used special tools to look closely at the structure of one group, mTORT2. They found out that some parts of this group were made up differently than other parts. This could explain why certain drugs only affect one part of these groups. By knowing more about how these groups work, doctors might be able to find better ways to treat diseases caused by these moleculs not working right. However, more studies need to be done before we know if these new findings will help people get better treatment. (306 words) Lay Summary (Simplified): Scientists want to make better medicine for people who have diabetes, cancer or other illnesses. One way to do this is by learning more about the things inside our body that cause these illnesses to happen. There are some things inside us called ""mTOR"" that we know can cause these problems. Sometimes, doctors give patients medicine that stops these mTors from doing their jobs. But sometimes these medicines don’t work very well. That’s because there are actually two groups of these mTOrs inside us. Each group does its own job, and each group has its own medicine that can stop them from doing those jobs. So, when someone takes medicine, it usually just stops one group from working. If you take a medicine that only stops one of the groups, then the other group still keeps working! Now, scientists have learned even more about one of these two groups, which is called mTOrc2. The scientists looked really close at this group using special tools. They figured out that one part was put together differently than another part. Because of this, doctors now know more about what makes these groups tick. With this knowledge, maybe doctors can figure out new ways to make medicine that works on both groups so that none of them keep causing trouble."
"Our sense of number is thought to have emerged from the circuits of cortical neurons in the brain that originally represent space , a process known as 'cortical recycling' . Accordingly , our perception of space and number are tightly intertwined: for example , people think about numbers on a mental number line , where smaller numbers are mapped to the left , and larger numbers are mapped to the right . Also , damage to a brain region called the parietal cortex disrupts both space and number processing . If number processing recycles the neurons that encode space , which form does this appropriation take ? Recycling could preserve the original behavior of the neurons ( processing space ) , thus enriching the neurons’ functional repertoire with a new capacity ( processing number ) . Alternatively , the newly developed role could replace the original one , such that space and number cohabitate the same brain area but use separate neurons . To disentangle these hypotheses , Schwiedrzik et al . used a technique called 'perceptual adaptation' . Here , continuously showing someone a particular feature eventually exhausts the neurons that respond to that feature . Neurons that respond to the opposite feature are however less exhausted and dominate perception . Consequently , people perceive the opposite of what they are adapted to . For example , after continuously seeing dots moving to the right , people perceive stationary dots as moving to the left . Similarly , after being exposed to large numbers of dots they underestimate how many dots they see . If the same neurons process numbers and space , then adapting to movement in a particular direction should influence number perception . During Schwiedrzik et al . ’s experiments , volunteers watched moving dots on a computer screen . After seeing dots move to the right , they underestimated the number of dots that then appeared on the screen . This is likely to be because larger numbers are mentally mapped to the right , and seeing rightward motion for a long time exhausted these neurons . This means that neurons that respond to smaller numbers ( mentally mapped to the left ) were more active when the new dots were presented , leading the volunteers to underestimate how many dots they saw . Adapting to leftward motion led to the opposite effect , with volunteers overestimating the number of dots . Thus , motion can literally move us up and down the number line . These results indicate that the same neurons encode both space and numbers . Cortical recycling does not erase the neurons’ original behavior: instead , neurons may carry out the same computations when processing numbers or space . This would allow the brain to add new functionality without sacrificing any of the computational resources for processing space ."," In our study, we found evidence suggesting that the same part of the brain (located in the back of the skull) helps us process how big an object is as well as how fast it moves. This finding supports the idea that different abilities can use similar parts of the brains, even though they were thought to be separate before. Specifically, when looking at moving dots on screen, participants perceived more dots than there actually were if those dots moved from left to right compared to right to left. When asked about the opposite situation, participants saw fewer dots when the dots first went from right to lateral compared to left to later. These effects occurred because of how people perceive objects' size and speed based on where they think these things are located. Our findings suggest that the brain uses the same areas to help us understand how far away something is and how quickly it moves, regardless of whether we are thinking about its location or numerical value. This means that the way we see one thing affects how we see another thing, even if they seem very different at first glance. By understanding how the brain processes multiple types of information together, researchers might better understand what happens when someone struggles to learn math concepts or has trouble reading maps. For example, maybe some people have difficulty using certain parts of their brain to process both spatial and numerical information simultaneously. If so, then training exercises could target these specific regions to improve performance in other skills that rely on the same parts of our brains."
"When an embryo is developing , stem cells must divide and develop into many specialized types of cells . However , if cell division doesn't stop , or if it restarts later in life , it can cause tumors to form . Musashi-1 is a protein that binds to molecules of RNA and helps to promote cell growth during development: mice that lack this protein have serious brain defects and die shortly after birth . Musashi-1 is usually turned off in adult cells that are not dividing . Sometimes , however , it remains active and contributes to the growth of cancers in the brain and the gut . Reducing Musashi-1 levels in colon tumors slows their growth and causes the cancer cells to die . To find a compound that would switch off Musashi-1 , Clingman et al . screened more than 30 , 000 compounds and identified four inhibitors . One of these was oleic acid , a fatty acid that is found in olive oil and other animal and plant oils . Oleic acid interacts with Musashi-1 in a way that changes the shape of the protein . These changes mean that Musashi-1 is no longer able to regulate the genes that control cell proliferation . Clingman et al . also found that Musashi-1 promotes the activity of a particular enzyme that makes fatty acids; molecules that are needed in large quantities when cells are dividing . Musashi-1 appears to act as a ‘nutrient sensor’ , turning down the activity of this enzyme in cells when levels of oleic acid are high , and turning up enzyme activity when oleic acid levels are low . The findings of Clingman et al . further reveal how our diets can affect gene expression , and may aid the development of new treatments against cancer ."," This study found that a type of molecule called fatty alcohol can affect how another type of protein called Musashi works. Normally, Musashi helps make certain kinds of cells grow properly during development. However, when there's too much fatty-acid alcohol around, it stops working correctly. This happens because the presence of these molecules causes Musashi to no longer be able to stick to certain parts of the body where it needs to work. By understanding more about how Musashi does its job, scientists might be able find ways to help cells develop better or treat diseases related to abnormal cell growth. For example, they might be better able to understand why some people get cancer or how to stop tumors from growing once they already exist. They also might learn new ways to use Musashi or similar proteins to control how cells behave in the lab. That would let them make things like medicines or vaccinations based on what they learned. Overall, this study shows that Musashi is important for helping cells do their jobs right, but that sometimes too many fatty molecules can mess up how well those cells work. It also suggests that there may be other types of molecules out there that can tell if cells are making enough energy or food to survive, which could give us clues about how to keep our own bodies healthy."
"Neurons communicate with one another at junctions called synapses . The arrival of an electrical signal called an action potential at the first neuron triggers the release of chemicals called neurotransmitters into the synapse . These chemicals then diffuse across the gap between the neurons and bind to receptors on the second cell . The neurotransmitter molecules are stored in the first cell in packages known as vesicles , which release their contents by fusing with the cell membrane . Following a fusion event , neurons must replenish their vesicle stocks to ensure that they are ready for the arrival of the next action potential . This replenishment process is known to involve a calcium-dependent pathway and a calcium-independent pathway . A protein called calmodulin , that binds calcium ions , has an important role in the first of these pathways . Now , Liu et al . have shown that another protein , synaptotagmin 7 , also has a key role in the replenishment of synaptic vesicles , possibly as a sensor for calcium ions . Moreover , Liu et al . found that synaptotagmin 7 and calmodulin bind to each other to form a complex , which suggests that the calcium-dependent replenishment pathway is regulated by this complex . The synaptotagmins are a family of 17 proteins , three of which are present in all animals . Two of these were known to have roles in synapses , but the role of the third—synaptotagmin 7—had been unclear . In addition to providing a more complete understanding of the replenishment of synaptic vesicles , the work of Liu et al . also supplies the final piece of the jigsaw regarding the role of the synaptotagmins that are present in all animals ."," This study focused on understanding how synapses work at the molecular level. Synapse is a specialized junction between two cells where communication takes place through electrical or chemical signals. Chemical signaling involves releasing small packets called vesicles from one cell into the space between cells so that they can be received by another cell. These vesicular packets contain chemicals known as neurotransmitters which act like messengers. After transmission of signal, the vesicals need to be refilled again before next round of transmission. In order to understand the mechanism behind this process, researchers studied a protein named synaptotgamin-7 (syt-7) using genetic techniques. They made mutant versions of this protein and observed their effects on the process of refilling the vesciles. Their results showed that sut-7 plays an important role in refilling of vesices after transmission of chemical signal. Further experiments revealed that spt-7 interacts with other molecule called calmoduline (CaM). Overall, this study suggests that syp-7 along with CaM play an essential role in filling up the vascicles after transmission. It will help us better understand the mechanisms underlying normal functioning of brain and may lead to new therapeutic targets for treating neurological disorders."
"People may experience a stressful or traumatic event that can cause anxiety in their day-to-day lives . For some people , this anxiety can persist and develop into a disorder , such as posttraumatic stress disorder ( PTSD ) or acute stress disorder . Millions of people worldwide suffer from these disorders , but there are few classes of drug treatments currently available . Some preliminary studies in mice have suggested that anti-inflammatory drugs called cyclooxygenase-2 ( COX-2 ) inhibitors may relieve symptoms of anxiety . COX-2 inhibitors target an enzyme called cyclooxygenase-2 , which is produced in many tissues throughout the body and brain . Some COX-2 inhibitors , such as Celebrex , are already widely used to treat arthritis . Studies in people have also suggested these drugs given in combination with antidepressants might also help people with depression , while a recently developed COX-2 inhibitor , called LM-4131 , stops the breakdown of chemicals produced in the brain that interact with the same brain receptors that marijuana does . In animal studies , this new drug reduced anxious behaviors . However , scientists didn’t know if the drug would also reduce anxious behaviors after animals were exposed to a traumatic or stressful experience . Now , Gamble-George et al . – including some of the same scientists that created LM-4131 – show this drug does reduce anxious behavior in mice after a traumatic or stressful experience . In the experiments , mice were stressed with an electric shock to their feet and then treated with LM-4131 , Celebrex , another COX-2 inhibitor sometimes used in humans , or an inactive control . The mice were then placed in new environments or mazes high off the ground that usually trigger anxious behavior . The mice treated with any of the three COX-2 inhibitors were less likely to act like they were anxious than the mice treated with the control solution . Gamble-George et al . then showed that LM-4131 changes how cells in the brain become excited in both isolated mouse brain cells and live mice . Short-term stress in humans is known to excite cells in an area of the brain called the amygdala , which controls how we respond to stress or trauma . The experiments showed that LM-4131 decreases this activity and decreases anxiety in stressed mice . Future animal and human studies are needed to confirm that COX-2 inhibitors are a useful treatment for stress disorders , and learn more about how they work ."," This study looked at how certain drugs can help treat mood and anxiety problems caused by stress. These drugs work on something called ""cyclooxyganse 2"" which helps regulate chemicals in our brains. They tested different types of drugs that target this ""cyclooxygenase 2"", and found that they all helped reduce symptoms like fearfulness and panic attacks. They also found out how these drugs worked through other chemicals in the brain. Overall, this study suggests that these drugs might be helpful treatments for people who suffer from stress-caused mood and mental issues. However, more research needs to be done before we know if these drugs would actually work for treating those kinds of problems. It's important to note that while this study used animal models, it did not test any human subjects directly. Therefore, more testing will need to be conducted before we can say whether or not these drugs should be prescribed to patients suffering from stress related mood and emotional problems. In addition, some of the drugs studied here may cause side effects such as stomach bleeding, so it's crucial to weigh the pros and cons carefully before deciding if these medications are right for you or your loved ones. Always consult with your healthcare provider before starting new medication. Do not discontinue current medication without first consulting your doctor."
"Surrounding every living cell is a biological membrane that is largely impermeable to water-soluble molecules . This hydrophobic ( or “water-hating” ) barrier preserves the contents of the cell and also regulates how the cell interacts with its environment . This latter function is critical and relies on a class of proteins that are embedded within the membrane and are also hydrophobic . The hydrophobic nature of membrane proteins is however inconvenient for biochemical studies which usually take place in water-based solutions . Therefore , membrane proteins are under-represented in biological research compared to the water-soluble ones , even though roughly one quarter of a cell’s proteins are membrane proteins . Researchers have developed a few tricks to keep membrane proteins soluble after they have been extracted from the membrane . An old but popular technique makes use of detergents , which are chemicals with opposing hydrophobic and hydrophilic properties ( hydrophilic literally means “water-loving” ) . However , even mild detergents can damage membrane proteins and will sometimes lead to experimental artifacts . More recent tricks to stabilize membrane proteins without detergents have been described but remain laborious , costly or difficult to perform . To overcome these limitations , Carlson et al . developed a simple method to stabilize membrane proteins without detergent . Called the “peptidisc” , the method uses multiple copies of a unique peptide – a short sequence of the building blocks of protein – that had been redesigned to have optimal hydrophobic and hydrophilic properties . The idea was that the peptides would wrap around the hydrophobic parts of the membrane protein , and shield them from the watery solution . Indeed , when Carlson et al . mixed this peptide with five different membrane proteins from bacteria , all were perfectly soluble and functional without detergent . The ideal ratio of peptide needed to form a peptidisc around each membrane protein was reached automatically , without having to test many different conditions . This indicates that the peptidisc acts like a “one size fits all” scaffold . The peptidisc is a new tool that will allow more researchers , including those who are not expert biochemists , to study membrane proteins . This will yield a better understanding of the structure of a cell’s membrane and how it interacts with the environment . Since the approach is both simple and easy to apply , more membrane proteins can now also be included in high-throughput searches for potential new drugs for various medical conditions ."," Membrane Proteins are important molecules that help cells function properly but they can be hard to study because they need special conditions to survive in. One way to keep them alive is by putting them inside little “baskets” called discs. These baskets are made from special kinds of proteins or chemicals. However, these baskts come in many shapes and sizes and can be complicated to make. In this study, scientists found a simpler way to make these bskets so that more people could use them easily. They did this by finding one kind of basket that works well for most types of membranes. This new type of basket is called a pepti disk. Scientists showed that this new basket worked just as well as the other ones and was much easier to make! Now, more people will be able to use these bsttions to study membrane protiens and learn more about how they work. This will help us understand how our bodies work better and maybe even find ways to treat diseases like cancer and heart disease. That's pretty amazing! Science is always coming up with new ways to help us live healthier lives. Who knows what cool things will happen next? Stay tuned to find out! 🔍"
"Most cells contain molecules of DNA that carry instructions to make the proteins cells need to perform different tasks . When a cell requires a certain protein , the corresponding DNA sequence is first transcribed into molecules of ribonucleic acid ( RNA ) known as transcripts . These sequences of RNA are then read by the cell and translated into the desired protein sequence . Errors in copying DNA before a cell divides , can lead to genetic mutations that affect the ability of the cell to carry out certain roles , influencing the overall ‘fitness’ of the cell . Similar to genetic mutations , errors that arise when forming RNA transcripts may also alter the tasks a cell performs . However , it is difficult to find out what kinds of errors cells have in their transcripts and how often these mistakes occur . This is because current methods for sequencing RNA are prone to technical inaccuracies that interfere with the ability to detect true transcript errors . Now , Li and Lynch have adapted a method for high-throughput sequencing of RNA , which can accurately identify transcript errors in Escherichia coli and other species of bacteria . The experiments showed that errors in RNA molecules occurred more frequently than genetic mutations in the same sequence of DNA . Li and Lynch also found that the transcripts contained more nonsense errors – that is , mutations which prematurely stop transcripts from being translated , resulting in shorter proteins – at the end of the RNA molecule than at the beginning or middle . It is possible that transcripts with errors at the beginning or the middle are more efficiently eliminated than those at the end , suggesting that bacteria have a quality-control mechanism for removing transcripts with premature stop sequences . These findings suggest that at any one-time cells carry thousands of transcripts with inaccuracies in their sequence , which likely impact the tasks cells perform . The next step will be to investigate how these different transcript errors affect the fitness of cells ."," Scientists found that there are many mistakes (errors) when copies of DNA molecules make copies of themselves or when they turn into RNA molecules. These mistakes happen very often and could change what the DNA or RNA says. Some of these mistakes might cause problems because they could change the proteins made by those genes. They also saw that some types of mistakes happened more often near the ends of the gene copying process. This suggests that cells may be checking their genes and getting rid of mistakes like this. Overall, scientists learned even more about how mistakes happen inside living things and how cells deal with them. This will help us understand why certain kinds of mistakes keep happening over and over again. It will also help us learn more about diseases caused by mistakes in our own bodies. We still don’t know enough though, so more work needs to be done. More studies on different organisms need to be performed to see whether other organisms behave similarly. In addition, it would be interesting to study how these mechanisms affect the evolution of genomes. Finally, it will be important to determine the biological significance of these processes. For example, do they allow rapid adaptation? Or do they lead to disease states? Further investigation is needed to answer these questions. Future experiments should focus on identifying the specific enzyme(s) responsible for causing these errors and determining where within the cellular machinery these errors originate."
"The loss of a limb will have a profound impact on an individual’s daily life . Nevertheless , individuals can employ a variety of behavioural strategies to adapt to the loss of , say , a hand . Some become skilled at using the residual part of their arm , while others prefer to rely on their other hand . Their brain , too , will undergo major changes . Many studies have shown that the region of the brain that controlled a given limb can be “taken over” by another part of the body if that limb is lost . This process has been previously considered to be harmful , as it has been linked to experiences of pain arising from the missing limb . Now , Makin et al . have explored the links between changes in the behaviour of individuals missing a hand and changes in their brains . People who had been born without a hand or who had lost a hand in later life were asked to wear a device that recorded their movements as they went about their daily lives . The data revealed that people who had been born without a hand made relatively more use of their residual limb , while those who had lost their hand made relatively more use of their remaining hand . Moreover , these differences were reflected in patterns of brain activity . In the subjects born without a hand ( who were making relatively extensive use of their residual limb ) , the area of the brain that would otherwise control the ‘missing’ hand was activated when the subjects moved their residual limb . And in the subjects who had lost their hand , this brain region was activated when they moved their remaining hand . However , in individual subjects , the size of the effect depended on the usage preferences of the subject: for example , the minority of people who were born without a hand but nevertheless make extensive use of their intact hand showed a pattern of activation that resembled the average pattern seen in those who had lost a hand in later life . By providing new insights into the plasticity of brain and behaviour following the loss of a hand , the work of Makin et al . may aid the development of rehabilitation techniques to help patients to optimise the use of both their residual and their intact limbs ."," This study looked into what happens when people lose a body part through amputations. It found out that there are two main reasons why this could lead to changes in the brain. Firstly, losing a body parts means losing some senses such as touch and temperature. Secondly, it also means using that particular body part less often than before. Researchers have mainly studied the first reason so far but not the second one. They wanted to see if the way people used their remaining body parts afterwards was important too. To do this, they asked 12 people who had lost arms due to accidents or illnesses and 8 people who were born without arms about how much they used their other hand and arm compared to others. Then they did MRI scans and measured the amount of times each person moved their hand or arm during the day. Finally, they checked how well connected different areas of the brain were. Their results showed that those who used their good hand more tended to have stronger connections between the missing arm area of the right side of the front of the head and the left side of their brain where movement is controlled. These findings suggest that both losing a sense and changing the way you move your body can affect the brain even years later. This shows us that our brains keep adapting even after injury."
"For many aquatic creatures , the red blood cells that rush through their bodies are created in organs such as the liver or the kidney . In most land vertebrates however , blood-cell production occurs in the bone marrow . There , the process is shielded from the ultraviolet light or starker temperature changes experienced out of the water . It is possible that this difference evolved long before the first animal with a backbone crawled out of the aquatic environment and faced new , harsher conditions: yet very little fossil evidence exists to support this idea . A definitive answer demands a close examination of fossils from the water-to-land transition including lobe-finned fish and early limbed vertebrates . To support the production of red blood cells , their fin and limb bones would have needed an internal cavity that can house a specific niche that opens onto a complex network of blood vessels . To investigate this question , Estefa et al . harnessed the powerful x-ray beam produced by the European Synchrotron Radiation Facility and imaged the fin and limb bones from fossil lobe-finned fish and early limbed vertebrates . The resulting three-dimensional structures revealed spongy long bones with closed internal cavities where the bone marrow cells were probably entrapped . These could not have housed the blood vessels needed to create an environment that produces red blood cells . In fact , the earliest four-legged land animals Estefa et al . found with an open marrow cavity lived 60 million years after vertebrates had first emerged from the aquatic environment , suggesting that blood cells only began to be created in bone marrow after the water-to-land transition . Future work could help to pinpoint exactly when the change in blood cell production occurred , helping researchers to identify the environmental and biological factors that drove this change ."," Scientists have studied how different animals make their own red blood cells inside their bodies. Some animals do this in special organs called spleens, while other animals do it in certain parts of their bones called bone marrows. Researchers think that some animals started making red blood cell in their bones instead of their spleen because it was safer there. To test this idea, scientists looked at the way bones made red blood in different kinds of animals. They used two ways to look at the bones: cutting them up into pieces and looking at them under a microscope or using x-ray beams to see through the whole bone without having to cut it open. By doing this, they found out that some ancient animal groups already had bones that could safely store red blood, even before animals lived mostly on land. This means that making red cells in bones might not have happened when animals moved from living in water to living on land! Now we know more about how different kinds animals make red blood today. We also learned something new about what kind of bones some early ancestors had. It will be interesting to learn more about why those early ancestors decided to use their bones like this! What do you think? Isn't it cool to learn new things about how animals live and grow?"
